Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
250635,Comcast Cable Internet Speeds,4/22/2015,22-Apr-15,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No
223441,Payment disappear - service got disconnected,8/4/2015,4-Aug-15,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No
242732,Internet speed significantly lower than advertised package,4/18/2015,18-Apr-15,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,7/5/2015,5-Jul-15,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes
307175,Comcast not working and no service to boot,5/26/2015,26-May-15,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No
338519,ISP Charging for arbitrary data limits with overage fees,12/6/2015,6-Dec-15,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No
361148,Throttling service and unreasonable data caps,6/24/2015,24-Jun-15,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No
359792,Comcast refuses to help troubleshoot and correct my service.,6/23/2015,23-Jun-15,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No
318072,Comcast extended outages,1/6/2015,6-Jan-15,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No
371214,Comcast Raising Prices and Not Being Available To Ask Why,6/28/2015,28-Jun-15,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes
255938,Billing after service was asked to be disconnected,4/24/2015,24-Apr-15,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,6/5/2015,5-Jun-15,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,6/13/2015,13-Jun-15,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes
360178,Internet speed significantly lower than advertised package,6/23/2015,23-Jun-15,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No
376268,Internet Disconnects Every Night,6/30/2015,30-Jun-15,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No
370137,Internet complaint,6/27/2015,27-Jun-15,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No
363695,Internet Availability and Speed,6/24/2015,24-Jun-15,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No
238694,Comcast owes me $65 and claims I need to return equipment I never had,4/16/2015,16-Apr-15,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No
230876,Horrible Internet Service,11/4/2015,4-Nov-15,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No
318725,Failure to provide services that I am billed for.,2/6/2015,6-Feb-15,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No
327657,Internet out all the time but they have a monopoly,7/6/2015,6-Jul-15,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No
328742,horrible cable service and customer service,8/6/2015,6-Aug-15,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No
328165,General complaint about Comcast service quality and billing practices,8/6/2015,6-Aug-15,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No
370538,Comcast monopoly bundling practices,6/27/2015,27-Jun-15,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No
370363,General complaint about Comcast service quality and billing practices,6/27/2015,27-Jun-15,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No
270163,bait and switch,2/5/2015,5-Feb-15,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes
355976,Comcast Customer Service,6/22/2015,22-Jun-15,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No
260651,Apartment Management's Exclusivity Contract with Comcast,4/28/2015,28-Apr-15,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No
305340,Unable to reach a Comcast agent for internet and billing issues.,5/24/2015,24-May-15,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,Solved,No
360759,Wifi internet not working as well,6/24/2015,24-Jun-15,2:23:23 AM,Internet,Aloha,Oregon,97006,Pending,No
265487,Data usage cap exceeded with overage charges applied,4/29/2015,29-Apr-15,9:40:19 PM,Internet,Alpharetta,Georgia,30022,Closed,No
296608,Comcast Internet Data Cap,5/19/2015,19-May-15,10:56:20 AM,Internet,Alpharetta,Georgia,30022,Solved,No
310990,XFINITY Movers Edge program,5/28/2015,28-May-15,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,Solved,No
325342,Comcast Data Internet Usage,5/6/2015,6-May-15,1:25:58 PM,Internet,Alpharetta,Georgia,30022,Solved,No
337489,Comcast not refunding my credit,12/6/2015,6-Dec-15,3:59:57 PM,Internet,Alpharetta,Georgia,30005,Solved,No
354116,General complaint about Comcast service quality and billing practices,6/20/2015,20-Jun-15,5:03:09 PM,Internet,Alpharetta,Georgia,30022,Solved,No
371829,Internet service connection issues and frequent outages,6/29/2015,29-Jun-15,11:23:38 AM,Internet,Alpharetta,Georgia,30005,Closed,No
373874,General complaint about Comcast service quality and billing practices,6/30/2015,30-Jun-15,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,Solved,No
300824,"INTERNET , BILLING AND SERVIE ISSUES",5/21/2015,21-May-15,9:34:19 AM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
348923,Comcast blocking DirecTv signals,6/18/2015,18-Jun-15,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
302574,General complaint about Comcast service quality and billing practices,5/21/2015,21-May-15,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,Open,No
343346,Internet speed significantly lower than advertised package,6/16/2015,16-Jun-15,1:45:58 PM,Internet,Amherst,New Hampshire,3031,Open,No
286768,not getting what I am paying for with internet,12/5/2015,5-Dec-15,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,Solved,No
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,8/4/2015,4-Aug-15,1:04:24 AM,Internet,Angels Camp,California,95222,Closed,No
235980,isp dishonest about speeds,4/14/2015,14-Apr-15,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,Closed,No
236469,Deceptive sales- change in billing amount etc.,4/15/2015,15-Apr-15,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,Closed,No
288602,Comcast Billing Dispute,5/13/2015,13-May-15,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,Closed,No
309379,General complaint about Comcast service quality and billing practices,5/27/2015,27-May-15,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,Solved,No
351079,Comcast Billing and Service Issues,6/19/2015,19-Jun-15,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,Solved,No
366705,Cable prices rising,6/25/2015,25-Jun-15,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,Solved,No
368705,Internet service connection issues and frequent outages,6/26/2015,26-Jun-15,3:56:18 PM,Internet,Annapolis,Maryland,21401,Solved,No
347369,HBO GO on Playstation 4,6/17/2015,17-Jun-15,8:41:23 PM,Internet,Annville,Pennsylvania,17003,Solved,No
291784,internet connectivity,5/15/2015,15-May-15,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,Solved,No
308478,Email issues,5/26/2015,26-May-15,9:45:02 PM,Customer Care Call,Antioch,California,94509,Solved,No
309851,General complaint about Comcast service quality and billing practices,5/27/2015,27-May-15,4:24:46 PM,Internet,Antioch,Tennessee,37013,Solved,No
367342,Complaint against Xfinity/Comcast,6/26/2015,26-Jun-15,2:38:50 AM,Internet,Aptos,California,95003,Closed,No
227209,Comcast credit after cancellation has not been received after more than a year,9/4/2015,4-Sep-15,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,Closed,No
266376,Comcast False Promises,4/30/2015,30-Apr-15,1:06:52 PM,Internet,Arlington,Virginia,22206,Closed,No
325273,Comcast Blocking UDP Port 443,5/6/2015,6-May-15,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Closed,Yes
342435,Issues with Comcast,6/15/2015,15-Jun-15,10:39:15 PM,Internet,Arlington,Virginia,22206,Solved,No
348514,Comcast Refuses to Schedule a Future Service Stoppage,6/18/2015,18-Jun-15,12:02:57 PM,Internet,Arlington,Virginia,22204,Solved,No
352100,General complaint about Comcast service quality and billing practices,6/19/2015,19-Jun-15,2:36:57 PM,Internet,Arlington,Virginia,22206,Open,No
355887,Overbilling,6/22/2015,22-Jun-15,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Solved,Yes
356118,"Comcast - failure to provide service, refusal to void contract",6/22/2015,22-Jun-15,2:41:05 PM,Customer Care Call,Arlington,Virginia,22206,Solved,No
363869,Spotty Comcast service,6/25/2015,25-Jun-15,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,Solved,No
369398,without service despite willingness to pay,6/26/2015,26-Jun-15,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,Open,No
226231,Issues with Xfinity/Comcast,9/4/2015,4-Sep-15,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No
241880,Cable Modem rent for Internet access,4/17/2015,17-Apr-15,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,Closed,No
360187,Comcast/Xfinity,6/23/2015,23-Jun-15,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,Solved,No
223960,Internet speed significantly lower than advertised package,8/4/2015,4-Aug-15,12:53:45 PM,Internet,Ashland,Virginia,23005,Closed,No
355934,General complaint about Comcast service quality and billing practices,6/22/2015,22-Jun-15,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,Solved,No
211976,Fraudulent claims reported to collections agency,1/4/2015,4-Jan-15,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,Closed,No
243998,Comcast using a Data Cap to take however much money they like,4/19/2015,19-Apr-15,10:49:13 PM,Internet,Atlanta,Georgia,30097,Closed,No
265755,Data usage cap exceeded with overage charges applied,4/30/2015,30-Apr-15,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,Closed,No
230907,Internet speed significantly lower than advertised package,11/4/2015,4-Nov-15,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,Closed,No
231273,Comcast's Monopolistic Practices and Data Capping,12/4/2015,4-Dec-15,3:22:03 PM,Internet,Atlanta,Georgia,30315,Closed,No
231292,"Comcast data cap """"trials""""",12/4/2015,4-Dec-15,3:45:26 PM,Internet,Atlanta,Georgia,30316,Closed,No
231377,Comcast billing problem,12/4/2015,4-Dec-15,6:18:10 PM,Internet,Atlanta,Georgia,30308,Closed,No
252681,Comcast Needs Competition,4/23/2015,23-Apr-15,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,Closed,No
268101,Comcast services/billing issues,1/5/2015,5-Jan-15,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,Solved,No
269066,Incorrect Bill,1/5/2015,5-Jan-15,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,Solved,No
273420,Legality of data caps,5/5/2015,5-May-15,11:58:26 AM,Internet,Atlanta,Georgia,30315,Closed,No
278509,General complaint about Comcast service quality and billing practices,7/5/2015,5-Jul-15,2:55:45 PM,Internet,Atlanta,Georgia,30363,Open,No
279656,Comcast Added Service After I Declined It,8/5/2015,5-Aug-15,8:47:45 AM,Internet,Atlanta,Georgia,30345,Solved,No
288771,Comcast Misled With Overage Policy,5/13/2015,13-May-15,7:55:53 PM,Internet,Atlanta,Georgia,30317,Open,No
293512,Cable service and telephone connect not complete,5/16/2015,16-May-15,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes
297104,Data usage cap exceeded with overage charges applied,5/19/2015,19-May-15,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,Solved,No
303412,Comcast Won't Cancel My Service,5/22/2015,22-May-15,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
304450,General complaint about Comcast service quality and billing practices,5/23/2015,23-May-15,12:05:55 AM,Internet,Atlanta,Georgia,30318,Open,No
305137,Comcast disconnecting service before due date,5/23/2015,23-May-15,11:34:43 PM,Internet,Atlanta,Georgia,30324,Open,No
305982,Data usage cap exceeded with overage charges applied,5/25/2015,25-May-15,3:34:56 PM,Internet,Atlanta,Georgia,30309,Open,No
307799,General complaint about Comcast service quality and billing practices,5/26/2015,26-May-15,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
308171,Unbelievable Treatment,5/26/2015,26-May-15,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,Solved,No
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,5/28/2015,28-May-15,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No
311725,Comcast's Terrible Service - How are they still in business?,5/28/2015,28-May-15,2:46:47 PM,Internet,Atlanta,Georgia,30309,Solved,No
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,5/29/2015,29-May-15,3:56:01 PM,Internet,Atlanta,Georgia,30314,Solved,No
315173,Comcast discontinuation of service issue,5/30/2015,30-May-15,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,Open,No
317945,Comcast customer service,1/6/2015,6-Jan-15,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,Closed,No
318301,General complaint about Comcast service quality and billing practices,2/6/2015,6-Feb-15,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,Closed,No
322511,"Comcast bandwidth data caps in Atlanta, GA",3/6/2015,6-Mar-15,11:59:33 PM,Internet,Atlanta,Georgia,30341,Closed,Yes
322882,Comcast won't quit charging me for modem rental,4/6/2015,6-Apr-15,10:58:18 AM,Internet,Atlanta,Georgia,30317,Solved,No
323473,Comcast download caps,4/6/2015,6-Apr-15,2:18:03 PM,Internet,Atlanta,Georgia,30345,Solved,No
325596,Horrible Comcast Customer Service,5/6/2015,6-May-15,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No
327291,General complaint about Comcast service quality and billing practices,7/6/2015,6-Jul-15,10:01:52 AM,Internet,Atlanta,Georgia,30309,Solved,No
334035,Bad Customer Service,10/6/2015,6-Oct-15,10:24:00 PM,Internet,Atlanta,Georgia,30331,Solved,No
340637,disconnection of service,6/15/2015,15-Jun-15,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,Solved,No
341535,Comcast Data Usage Charges,6/15/2015,15-Jun-15,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,Open,No
350016,Comcast refuses service to my address,6/18/2015,18-Jun-15,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
349567,Comcast will not let me discuss my bill or service with a representative,6/18/2015,18-Jun-15,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No
349716,Comcast billing frauds,6/18/2015,18-Jun-15,3:53:05 PM,Internet,Atlanta,Georgia,30328,Solved,No
354254,Comcast TV/Internet hookup,6/20/2015,20-Jun-15,7:16:33 PM,Internet,Atlanta,Georgia,30341,Solved,No
355121,no service for 5+ days,6/22/2015,22-Jun-15,9:05:33 AM,Internet,Atlanta,Georgia,30341,Solved,No
357856,Comcast - Billing,6/23/2015,23-Jun-15,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,Open,No
359719,Comcast Internet,6/23/2015,23-Jun-15,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,Solved,No
359260,Comcast speed integrity,6/23/2015,23-Jun-15,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,Pending,No
358601,General complaint about Comcast service quality and billing practices,6/23/2015,23-Jun-15,2:21:23 PM,Internet,Atlanta,Georgia,30306,Pending,No
362076,Comcast Atlanta Data Caps,6/24/2015,24-Jun-15,2:13:31 PM,Internet,Atlanta,Georgia,30306,Pending,No
362097,Comcast Atlanta Data Caps,6/24/2015,24-Jun-15,2:18:32 PM,Internet,Atlanta,Georgia,30324,Pending,No
363616,COMCAST Poor Customer Service,6/24/2015,24-Jun-15,10:28:58 PM,Internet,Atlanta,Georgia,30345,Open,No
361720,Overage on 300GB data plan with Comcast,6/24/2015,24-Jun-15,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,Solved,No
362223,Comcast bill,6/24/2015,24-Jun-15,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,Solved,No
363102,Data usage cap exceeded with overage charges applied,6/24/2015,24-Jun-15,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,Pending,No
363235,Unfair Billing Practices,6/24/2015,24-Jun-15,7:12:16 PM,Internet,Atlanta,Georgia,30307,Solved,No
363424,Data usage cap exceeded with overage charges applied,6/24/2015,24-Jun-15,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,Solved,No
365321,Comcast Refusing to Honor Internet Rate,6/25/2015,25-Jun-15,2:08:35 PM,Internet,Atlanta,Georgia,30324,Solved,No
363860,General complaint about Comcast service quality and billing practices,6/25/2015,25-Jun-15,7:33:58 AM,Internet,Atlanta,Georgia,30316,Open,No
368838,Not Acceptable Internet Additional Charge.,6/26/2015,26-Jun-15,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No
